"Employment;sex,type of employment contract,employee characteristics,SIC2008"
"Sex of employee: Total"
"Type of employment contract: Total"
"Periods: 2020 *"
""
"Topic";"Employment|Jobs";"Employment|Jobs";"Employment|Jobs";"Employment|Jobs";"Employment|Jobs";"Employment|Jobs";"Employment|Jobs";"Employment|Jobs";"Employment|Jobs";"Employment|Jobs";"Employment|Jobs";"Employment|Jobs";"Employment|Jobs";"Employment|Jobs"
"Other characteristics employee";"Total";"Younger than 15 years";"15 to 19 years";"20 to 24 years";"25 to 29 years";"30 to 34 years";"35 to 39 years";"40 to 44 years";"45 to 49 years";"50 to 54 years";"55 to 59 years";"60 to 64 years";"65 to 74 years";"75 years or older"
"Industry class / branch (SIC2008)";"x 1,000";"x 1,000";"x 1,000";"x 1,000";"x 1,000";"x 1,000";"x 1,000";"x 1,000";"x 1,000";"x 1,000";"x 1,000";"x 1,000";"x 1,000";"x 1,000"
"AU All economic activities";"8.392";"16";"631";"845";"932";"884";"807";"780";"867";"939";"859";"625";"193";"14"
"AF Agriculture and industry";"1.286";"4";"52";"85";"112";"125";"126";"131";"157";"180";"163";"116";"32";"2"
"A Agriculture, forestry and fishing";"112";"3";"19";"14";"10";"9";"8";"8";"10";"11";"9";"6";"3";"1"
"BF Manifacturing and energy";"1.174";"1";"34";"70";"102";"116";"118";"123";"147";"169";"154";"110";"29";"2"
"BE Industry (no construction), energy";"839";"1";"22";"45";"70";"81";"82";"85";"105";"124";"117";"83";"21";"1"
"B Mining and quarrying ";"8";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0"
"C Manufacturing";"766";"1";"22";"43";"64";"73";"74";"77";"96";"114";"107";"76";"19";"1"
"D Energy supply";"28";"0";"0";"1";"2";"3";"4";"3";"3";"4";"4";"3";"1";"0"
"E Water supply and waste management";"36";"0";"0";"1";"3";"4";"4";"4";"5";"6";"5";"4";"1";"0"
"F Construction";"335";"0";"11";"25";"31";"35";"36";"37";"42";"44";"37";"27";"8";"1"
"GN Commercial services";"4332";"12";"501";"536";"524";"458";"401";"375";"414";"423";"346";"232";"99";"11"
"GI Trade, transport, hotels, catering";"2.192";"10";"419";"295";"217";"190";"170";"162";"187";"201";"169";"117";"50";"5"
"G Wholesale and retail trade";"1.411";"8";"297";"182";"137";"123";"110";"106";"123";"128";"101";"66";"27";"3"
"H Transportation and storage";"386";"0";"9";"27";"35";"38";"36";"36";"44";"52";"51";"40";"17";"1"
"I Accommodation and food serving";"395";"3";"113";"86";"45";"30";"23";"20";"20";"21";"17";"12";"5";"0"
"J Information and communication";"289";"0";"5";"23";"47";"49";"40";"31";"31";"29";"20";"12";"3";"0"
"K Financial institutions";"272";"0";"2";"9";"22";"29";"32";"34";"40";"42";"31";"20";"10";"2"
"L Renting, buying, selling real estate";"68";"0";"1";"4";"6";"7";"7";"8";"9";"9";"8";"6";"3";"1"
"MN Business services";"1.510";"1";"74";"206";"232";"184";"152";"140";"146";"144";"117";"77";"34";"3"
"M Other specialized business services";"529";"0";"10";"44";"81";"71";"60";"56";"58";"58";"46";"30";"13";"1"
"N Renting and other business support";"981";"1";"64";"162";"151";"113";"93";"84";"88";"86";"71";"47";"21";"1"
"OU Noncommercial services";"2.775";"0";"77";"224";"296";"300";"280";"274";"296";"336";"351";"277";"62";"2"
"OQ Government and care";"2.510";"0";"59";"189";"264";"273";"256";"251";"271";"308";"325";"258";"54";"1"
"O Public administration and services";"537";"0";"6";"22";"42";"50";"55";"59";"68";"76";"82";"64";"13";"0"
"P Education";"541";"0";"9";"35";"57";"63";"63";"60";"57";"59";"63";"60";"14";"0"
"Q Health and social work activities";"1.432";"0";"44";"132";"165";"159";"138";"132";"146";"173";"180";"134";"27";"0"
"RU Culture, recreation, other services";"264";"0";"18";"35";"32";"27";"24";"22";"25";"27";"25";"20";"8";"1"
"R Culture, sports and recreation";"132";"0";"11";"21";"17";"13";"11";"10";"12";"13";"12";"9";"3";"0"
"S Other service activities";"132";"0";"7";"14";"15";"14";"13";"12";"13";"15";"13";"10";"4";"0"
"Source: CBS"
